CUSTOM_ID;NAME;ALIAS;DESCRIPTION;LOCATION_ADDRESS;MUNICIPALITY;LATITUDE;LONGITUDE;SUBESTACION
1,26E+14;AND;ANDALUCIA 34.5 KV;S/E ANDALUCIA 34.5 KV;ANDALUCIA;ANDALUCIA, VAC;4,181978;-76,161526;ANDALUCIA 
1,26E+14;PVT;PAVITAS 34.5 KV;S/E PAVITAS 34.5 KV;CGTO DE PAVITAS-MPIO DE LA CUMBRE;LA CUMBRE, VAC;3,661102;-76,558814;PAVITAS 
1,26E+14;CAL;CALIMA 115 KV;S/E CALIMA 115 KV;329 KM 6 VIA TABLEROS A EL DARIEN;CALIMA EL DARIEN, VAC;3,880734;-76,560258;CALIMA 
1,26E+14;SME;MELENDEZ 115 KV;S/E MELENDEZ 115 KV;VALLE-SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,389496;-76,525442;MELENDEZ 
1,26E+14;YAT;YATACUE 34.5 KV;S/E YATACUE 34.5 KV;VALLE DAGUA-CGTO TERRENOS BALDIOS;DAGUA, VAC;3,592833;-76,83661;YATACUE 
1,26E+14;XLMS;LA MESA 220 KV;S/E LA MESA 220 KV;CUNDINAMARCA;;4,624639;-74,480616;LA MESA 
1,26E+14;XARM;ARMENIA 115 KV;S/E ARMENIA 115 KV;QUINDIO;;4,556022;-75,671628;ARMENIA 
1,26E+14;CCO;CARTON COLOMBIA 115 KV;S/E CARTON COLOMBIA 115 KV;VALLE-YUMBO;YUMBO, VAC;3,566372;-76,479174;CARTON COLOMBIA 
1,26E+14;XDS2;DIESEL 2 34.5 KV;S/E DIESEL 2 34.5 KV;SANTIAGO DE CALI;SANTIAGO DE CALI, VAC;3,4365;-76,517401;DIESEL 2 
1,26E+14;XSNB;SAN BERNARDINO 115 KV;S/E SAN BERNARDINO 115 KV;CAUCA-RURAL;POPAYAN, CAU;2,499541;-76,593977;SAN BERNARDINO 
1,26E+14;XTNY;TENAY 115 KV;S/E TENAY 115 KV;HUILA-RURAL;;3,090605;-75,312965;TENAY 
1,26E+14;XCLM;COLOMBINA 13.2 KV;S/E COLOMBINA 13.2 KV;VALLE-ZARZAL;ZARZAL, VAC;4,312886;-76,07315;COLOMBINA 
1,26E+14;LMA;LA MARIELA 34.5 KV;S/E LA MARIELA 34.5 KV;VALLE-ZARZAL;ZARZAL, VAC;4,392128;-76,068518;LA MARIELA 
1,26E+14;PLO;EL PAILON 115 KV;S/E EL PAILON 115 KV;VALLE-BUENAVENTURA;BUENAVENTURA, VAC;3,868429;-77,005498;EL PAILON 
1,26E+14;XARY;ARROYOHONDO 34.5 KV;S/E ARROYOHONDO 34.5 KV;YUMBO;YUMBO, VAC;3,505058;-76,52281;ARROYOHONDO 
1,26E+14;JMD;JAMUNDI 115 KV;S/E JAMUNDI 115 KV;VIA CHIPAYA - LA 14 DE ALFAGUARA;JAMUNDI, VAC;3,255067;-76,559276;JAMUNDI 
1,26E+14;XGCH;GUACHICONA 34.5 KV;S/E GUACHICONA 34.5 KV;VALLE-YUMBO;YUMBO, VAC;3,581461;-76,486702;GUACHICONA 
1,26E+14;UPE;URBANIZACION PEREIRA 34.5 KV;S/E URBANIZACION PEREIRA 34.5 KV;PALMIRA-CGTO JUANCHITO;PALMIRA, VAC;3,460109;-76,475663;URBANIZACION PEREIRA 
